periodo,inflacion_mensual,inflacion_anual
2023-05,0.43,12.37
2023-06,0.3,12.13
2023-07,0.5,11.79
2023-08,0.7,11.43
2023-09,0.54,10.99
2023-10,0.25,10.48
2023-11,0.47,10.15
2023-12,0.45,9.28
2024-01,0.92,8.35
2024-02,1.09,7.74
2024-03,0.7,7.37
2024-04,0.59,7.17
2024-05,0.43,7.15
2024-06,0.32,7.18
2024-07,0.2,6.86
2024-08,0.0,6.12
2024-09,0.24,5.81
2024-10,-0.13,5.41
2024-11,0.27,5.2
2024-12,0.46,5.2
2025-01,0.94,5.22
2025-02,1.14,5.27
2025-03,0.52,5.09
2025-04,0.66,5.16
2025-05,0.32,5.05
2025-06,0.1,4.83
2025-07,0.28,4.9
2025-08,0.19,5.1
2025-09,0.32,5.18
2025-10,0.18,5.51
2025-11,0.07,5.3
2025-12,0.27,5.1
2026-01,1.18,5.35
2026-02,1.08,5.29
2026-03,0.78,5.56
2026-04,0.78,5.69
2026-05,0.47,5.84
2026-06,0.39,6.14
