cod_depto,nombre_depto,cod_mpio,nombre_mpio,mesas_informadas_pct,votos_abelardo,votos_cepeda,votos_blanco,votos_nulos,tarjetones_no_marcados
09,CALDAS,09058,MARMATO,100%,1992,1704,78,60,11
24,RISARALDA,24054,MARSELLA,100%,5039,3611,153,122,33
88,CONSULADOS,88580,MARRUECOS,100%,20,21,2,0,0
27,SANTANDER,27133,MATANZA,100%,3130,608,35,21,3
09,CALDAS,09067,MARULANDA,100%,1001,219,34,26,5
01,ANTIOQUIA,01001,MEDELLIN,100%,819285,421839,29918,10998,999
15,CUNDINAMARCA,15166,MEDINA,100%,3727,859,57,39,6
17,CHOCO,17012,MEDIO ATRATO (BETE),100%,354,3337,13,38,1
17,CHOCO,17026,MEDIO BAUDO (PUERTO MELUK),100%,264,4335,15,14,5
29,TOLIMA,29079,MELGAR,100%,14072,6633,278,195,18
17,CHOCO,17027,MEDIO SAN JUAN,100%,362,3855,36,54,13
11,CAUCA,11046,MERCADERES,100%,1366,7867,239,156,58
52,META,52044,MESETAS,100%,2547,3460,124,90,16
88,CONSULADOS,88590,MEXICO,100%,8668,4032,258,7,1
44,CAQUETA,44016,MILAN,100%,1526,2020,72,52,10
07,BOYACA,07151,MIRAFLORES,100%,3048,2332,82,36,8
11,CAUCA,11049,MIRANDA,100%,3072,12996,174,136,18
54,GUAVIARE,54012,MIRAFLORES,100%,329,1010,19,14,5
60,AMAZONAS,60019,MIRITI PARANA,100%,3,163,1,0,0
68,VAUPES,68001,MITU,100%,1821,7498,112,32,28
24,RISARALDA,24062,MISTRATO,100%,3083,4783,104,100,29
27,SANTANDER,27136,MOGOTES,100%,4890,904,76,63,7
64,PUTUMAYO,64001,MOCOA,100%,7208,22666,312,194,33
27,SANTANDER,27139,MOLAGAVITA,100%,2228,275,18,12,1
13,CORDOBA,13024,MOMIL,100%,4707,4687,100,35,11
05,BOLIVAR,05043,MOMPOS,100%,10185,10744,142,82,19
07,BOYACA,07154,MONGUA,100%,2657,474,18,7,4
07,BOYACA,07157,MONGUI,100%,1998,962,41,22,4
07,BOYACA,07160,MONIQUIRA,100%,8875,4714,194,156,24
01,ANTIOQUIA,01181,MONTEBELLO,100%,2782,854,77,44,28
26,QUINDIO,26060,MONTENEGRO,100%,11180,7813,401,458,56
13,CORDOBA,13025,MONTELIBANO,100%,9026,28685,390,199,41
05,BOLIVAR,05041,MONTECRISTO,100%,2085,2558,60,18,11
13,CORDOBA,13001,MONTERIA,100%,105626,132930,2659,1293,248
05,BOLIVAR,05044,MORALES,100%,5325,2778,80,48,13
46,CASANARE,46540,MONTERREY,100%,6344,2501,162,129,16
11,CAUCA,11052,MORALES,100%,4747,12333,331,294,54
50,GUAINIA,50083,MORICHAL (MORICHAL NUEVO),100%,32,57,1,0,0
44,CAQUETA,44017,MORELIA,100%,1587,629,32,24,4
68,VAUPES,68010,MORICHAL (PAPUNAGUA),100%,22,80,0,0,0
15,CUNDINAMARCA,15169,MOSQUERA,100%,34410,40213,1617,808,29
28,SUCRE,28080,MORROA,100%,3673,6663,80,52,11
23,NARIÑO,23094,MOSQUERA,100%,74,4065,10,10,1
07,BOYACA,07161,MOTAVITA,100%,2262,1921,43,31,3
13,CORDOBA,13027,MOÑITOS,100%,6560,6451,77,39,23
29,TOLIMA,29080,MURILLO,100%,1153,709,19,17,3
01,ANTIOQUIA,01184,MURINDO,100%,131,1994,5,5,7
01,ANTIOQUIA,01187,MUTATA,100%,2879,4329,75,48,22
25,NORTE DE SAN,25058,MUTISCUA,100%,2225,156,25,10,7
07,BOYACA,07163,MUZO,100%,3005,1422,56,48,8
01,ANTIOQUIA,01190,NARIÑO,100%,3833,416,60,16,17
